Customer_ID,DOB,Gender,Annual_Income,Spending_Score,Shopping_Category,Shopping_Frequency,Total_Spent
CUST0001,2000-05-16,Female,119743.0,10,Clothing,24,287.38
CUST0002,1965-06-08,Female,60585.0,77,Clothing,22,1026.31
CUST0003,1945-05-24,Female,66680.0,29,Groceries,25,483.43
CUST0004,1986-03-29,Female,119682.0,55,Electronics,10,658.25
CUST0005,1983-11-26,Male,67754.0,51,Toys,2,69.11
CUST0006,1998-05-29,Female,133923.0,57,Clothing,23,1755.73
CUST0007,1977-09-19,male,54064.0,67,Groceries,17,615.79
CUST0008,1963-03-17,M,47810.0,100,Toys,26,1243.06
CUST0009,2000-06-03,Female,68413.0,78,Toys,15,800.43
CUST0010,2001-10-15,Female,53421.0,19,Sports,25,253.75
CUST0011,2006-05-17,Female,89632.0,81,Furniture,10,726.02
CUST0012,1954-08-28,Female,83567.0,85,Furniture,16,1136.51
CUST0013,1993-09-06,Female,105312.0,14,Clothing,2,29.49
CUST0014,1946-04-17,Female,62156.0,88,Furniture,29,1586.22
CUST0015,1999-07-01,Male,99964.0,90,Sports,10,899.68
CUST0016,1976-10-09,Female,56040.0,71,,23,915.13
CUST0017,2003-10-15,Male,56170.0,64,Groceries,6,215.69
CUST0018,1990-11-21,Male,101735.0,48,Electronics,17,830.16
CUST0019,1965-11-13,Male,147231.0,78,Clothing,7,803.88
CUST0020,1965-09-09,M,89716.0,10,Toys,14,125.6
CUST0021,1951-05-18,Male,120991.0,56,Electronics,28,1897.14
CUST0022,1964-08-23,Female,146970.0,33,Electronics,18,873.0
CUST0023,2006-06-25,Male,104489.0,56,Electronics,7,409.6
CUST0024,2003-10-25,Female,107265.0,4,Furniture,16,68.65
CUST0025,1954-01-07,Female,81082.0,33,,23,615.41
CUST0026,1969-02-02,Male,51037.0,100,Electronics,29,1480.07
CUST0027,2005-09-15,MALE,93514.0,80,Electronics,12,897.73
CUST0028,1983-01-30,Female,42750.0,11,Sports,9,42.32
CUST0029,1948-11-03,Female,69364.0,77,Furniture,15,801.15
CUST0030,2000-12-17,Male,48302.0,60,Toys,13,376.76
CUST0031,1961-06-16,Male,104536.0,48,Clothing,2,100.35
CUST0032,1992-02-23,Male,54018.0,98,Furniture,18,952.88
CUST0033,1955-06-28,Male,34208.0,13,Toys,20,88.94
CUST0034,1948-04-15,Female,28589.0,85,Clothing,15,364.51
CUST0035,2003-10-14,Male,48332.0,,Clothing,2,
CUST0036,1953-11-06,Female,52859.0,45,Groceries,19,451.94
CUST0037,1992-12-06,N/A,48854.0,76,Clothing,6,222.77
CUST0038,1958-12-13,FEMALE,65622.0,12,Toys,27,212.62
CUST0039,1998-04-26,Male,126181.0,13,Electronics,24,393.68
CUST0040,1973-12-18,FEMALE,48340.0,98,,22,1042.21
CUST0041,1951-10-26,Female,80225.0,23,,9,166.07
CUST0042,2004-05-25,F,83240.0,68,Sports,30,1698.1
CUST0043,1977-01-04,Female,130744.0,96,Groceries,3,376.54
CUST0044,1982-06-10,N/A,135824.0,26,,24,847.54
CUST0045,1975-09-16,Male,37189.0,94,Furniture,24,838.98
CUST0046,1987-12-22,Male,129019.0,79,Toys,7,713.48
